Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Final Life,2017,N/A,4.8,36,"Drama,Crime","Kawakubo Ryo is a detective on a special team. When he was a child, he lived through a difficult time. He lived in poverty and his mother's negligence led to his younger sibling's death. His mother went missing and he has been looking for her. Song Shi-On is a smart guy. He graduated from a top medical school in the United States. He happily spends time with his girlfriend, but an experimenton his brain causes him to lose his memory. Kawakubo Ryo and Song Shi-On have nothing in common but work together on a special team formed by a secret organization of police officers. They try to solve difficult cases.Final Life featuring Shota Matsuda and Lee Tae-min has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 12 episodes over 1 season. Final Life is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 4.8 (41 votes).",1Season,Prime Video
Wildest Arctic,2012,N/A,8.4,36,"Documentary,2012","Four years. Four programmes. One amazing series. Wildest Arctic explores four extraordinary areas of the arctic giving a unique insight into what life is like for animals trying to survive in these incredible habitats. The cameras capture life over the course of 12 months in the frozen forests of the Taiga, which contain one third of the world's trees. They also explore the arctic tundra, one of the coldest, driest places on the planet and home to hundreds of thousands of caribou. In later episodes, footage shows what life is like in the Arctic circle for the ?Ice Bears' and ?Ice Whales' and explores the country of Iceland; following the seasons and discovering the natural beauty of this country's rugged landscapes and hardy wildlife.Wildest Arctic has one or more episodes streaming with subscription on Prime Video. It's a documentary show with 4 episodes over 1 season. Wildest Arctic is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (96 votes).",1 Season,Prime Video
Teens React,2011,N/A,5.6,36,"Comedy,2011","Teens react to viral hits, youtubers and more in this new web series. From the directors of Kids React comes Teens react.Teens React has one or more episodes streaming with subscription on Prime Video. It's a comedy show with 54 episodes over 2 seasons. Teens React is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.6 (1,114 votes).",2Seasons,Prime Video
Battle Castle,2012,N/A,7.8,36,"Documentary,2012","Battle Castle is an action documentary TV series co-produced by Parallax Film Productions Inc. with London-based Ballista Media Inc. It explores the medieval arms race reflected in castle construction in the Middle Ages and, using location filming, re-enactments and CGI reconstruction, tells the stories of six castles tested by siege. Hosted by Dan Snow, the series has aired on History Television, SBS Australia and most recently, Discovery UK.Battle Castle featuring Dan Snow has one or more episodes streaming with subscription on Prime Video. It's a documentary show with 6 episodes over 1 season. Battle Castle is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (55 votes).",1Season,Prime Video
Grand Star,2007,N/A,5.4,36,"Action & Adventure,Science-Fiction","Grand Star, called La Compagnie des Glaces in France is a Canadian French Belgian Co-production science fiction television series playing on Space and A-Channel as of September 2007.Set in an apocalyptic future 100 years after a cataclysmic nuclear explosion on the Moon sends the Earth into a new Ice Age, the show revolves around the interactions between a small community of Earth survivors and the returning descendants of colonists who escaped Earth in advance of the disaster. The series is adapted from a series of novels called La Compagnie des glaces by Georges-Jean Arnaud.A multiplayer strategy game based on the universe of the TV series was launched in 2007. In the game, players face each other and use their trains to gather money for the control of energy sources.A French video game named Transarctica was also based on the novel series and haphazardly translated into English.The first novel in the series was translated in 2010 under the title The Ice Company by Jean-Marc Lofficier & Randy Lofficier ISBN 978-1-935558-31-6Grand Star featuring Tyler Johnston and Tammy Hui has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an Action & Adventure and Science Fiction show with 26 episodes over 1 season. Grand Star is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.4 (127 votes).",1Season,Prime Video
Napoleon Hill's Master Key,1954,N/A,6.6,36,"Documentary,1954","In 1954, Napoleon Hill, along with W. Clement Stone, produced a historic television broadcast. And now, for the first time, the archived films are being presented to you in their original and complete form.Napoleon Hill's Master Key has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a documentary show with 15 episodes over 1 season. Napoleon Hill's Master Key is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.6 (18 votes).",1Season,Prime Video
Cosmic Vistas,2009,N/A,8.5,36,"Documentary,2009","Season one offers twelve compelling episodes of beautiful imagery and information about the moon we hold so close, the outer most limits of the universe, and all bodies in between.Cosmic Vistas has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 36 episodes over 2 seasons. Cosmic Vistas is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (55 votes).",2Seasons,Prime Video
Queens,2017,N/A,5.8,36,"History,Drama","The story of two powerful women, fighting each other in a man's world: Elizabeth I and Mary, Queen of Scots.Queens has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a drama and history show with 9 episodes over 1 season. Queens is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.8 (107 votes).",1Season,Prime Video
Pound House,2013,N/A,8.2,36,"Comedy,2013","Pound House has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a comedy show with 18 episodes over 3 seasons. Pound House is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (113 votes).",3Seasons,Prime Video
Grand Tours of Scotland's Lochs,2017,N/A,7.6,36,"Documentary,2017",Grand Tours of Scotland's LochsGrand Tours of Scotland's Lochs has one or more episodes streaming with subscription on Prime Video. It's a documentary show with 6 episodes over 1 season. Grand Tours of Scotland's Lochs is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (26 votes).,1Season,Prime Video
Dangerous Encounters,2005,all,7.2,36,"Documentary,2005","Which of the most feared predators on the planet packs the most powerful bite? Expert Brady Barr finds out.As National Geographic?s resident herpetologist, Dr Barr is the first person to ever capture and study all 23 species of crocodilians in the wild. With one-third of all crocodile species endangered, Dr Barr?s extraordinary achievement brings much needed attention to their plight.Dr Barr made worldwide headlines last year when he wore a custom-designed crocodile suit to get up close and personal with these cold-blooded denizens of the Nile. This year, he?s gone one step further, creating a life-like hippo suit to get close enough to these deadly African giants to scrape the sweat off their backs.Dangerous Encounters has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Prime Video, and 1 other. It's a documentary show with 72 episodes over 14 seasons. Dangerous Encounters is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (86 votes).",14 Seasons,Prime Video
Renaissance Unchained,2016,N/A,8.4,36,"Documentary,2016","In this series critic and writer Waldemar Januszczak challenges the traditional review that the European Renaissance originated in southern Europe, advocating a case for the north instead.Renaissance Unchained has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 4 episodes over 1 season. Renaissance Unchained is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (100 votes).",1Season,Prime Video
Shui hu zhuan,2011,N/A,7.1,36,"Action & Adventure,Crime","Toward the end of Northern Song Dynasty, the government was deeply corrupted. The oppressed people finally rebelled. A hundred and eight men and women fought against the government and took their last stand in a place called Liang shan.Shui hu zhuan has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and crime show with 44 episodes over 2 seasons. Shui hu zhuan is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (70 votes).",2 Seasons,Prime Video
Beat the Clock,1979,N/A,6.7,36,"Family,Game Show","A revival of the classic game show featuring host Monty Hall. In this show, contestants are given unusal tasks to complete within a limited amount of time. Rather than requiring brain power...Beat the Clock has one or more episodes streaming with subscription on Prime Video. It's a family and game show show with 40 episodes over 1 season. Beat the Clock is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.7 (38 votes).",1 Season,Prime Video
Horsepower TV,2006,all,9.2,36,"Sport,2006","Every gearhead wants power and this show reveals the secrets from simple street machine bolt-ons to building complete engines and cars. Hosts Joe Elmore and Mike Galley reveal engine building secrets, tips, tricks and shortcuts.Horsepower TV has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a sport show with 165 episodes over 8 seasons. Horsepower TV is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.2 (11 votes).",8Seasons,Prime Video
The Pickwick Papers,1985,N/A,7.1,36,"Drama,Comedy","Mr Pickwick, Tupman, Winkle, Snodgrass and Sam Weller begin their travels through the England of stage-coaches and coaching inns.The Pickwick Papers featuring Clive Swift and Patrick Malahide has one or more episodes streaming with subscription on Prime Video. It's a comedy and drama show with 12 episodes over 1 season. The Pickwick Papers is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.1 (187 votes).",1Season,Prime Video
My Hometown,1996,N/A,6.4,36,"Family,Drama","My Hometown is a Canadian drama series starring a young Jay Baruchel as adolescent Thomas Thompson, struggling to adapt to his new hometown.My Hometown featuring Jay Baruchel and Sarah Osman has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a drama and family show with 40 episodes over 3 seasons. My Hometown is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.4 (42 votes).",3Seasons,Prime Video
Orphen,1998,N/A,6.1,36,"Action & Adventure,Animation","A little about Orphen: When the most prestigious university of magic in the land loses Orphen, their most talented student, they'll do anything to get him back. But Orphen has bigger plans than majoring in spellcasting - namely tracking down the mysterious dragon, the Bloody August. Together with his young apprentice, a spoiled heiress, and two cranky trolls, Orphen must battle both the Bloody August and his old teachers, advanced sorcerers who possess frightening powers and even more dangerous secrets!Orphen has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, and available for purchase on Prime Video. It's an action & adventure and animation show with 44 episodes over 2 seasons. Orphen is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.1 (28 votes).",2Seasons,Prime Video
An American Girl Story: Melody 1963 - Love Has to Win,2016,all,7.7,36,"Drama,Family","Set in Detroit during the Civil Rights Movement, ""An American Girl Story - Melody 1963: Love Has to Win"" examines the joyful life and troubled times of an irrepressible 10-year-old African-American girl whose vivid imagination and creativity reinforce her optimism. When shocking national events threaten her sense of security, Melody must find inner strength to restore her hope for a better world.An American Girl Story: Melody 1963 - Love Has to Win has one or more episodes streaming with subscription on Prime Video. It's a drama and family show with 4 episodes over 3 seasons. An American Girl Story: Melody 1963 - Love Has to Win is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (128 votes).",3Seasons,Prime Video
Immortal Egypt,2016,N/A,8,36,"Documentary,2016",Joann explores how Ancient Egypt's extraordinary story fits together.Immortal Egypt has one or more episodes streaming with subscription on Prime Video. It's a documentary show with 4 episodes over 1 season. Immortal Egypt is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (115 votes).,1 Season,Prime Video
Meet the Romans with Mary Beard,2012,N/A,7.9,36,"Documentary,2012","Professor Mary Beard looks beyond the stories of emperors, armies, guts and gore to meet the everyday people at the heart of Ancient Rome's vast empire.Meet the Romans with Mary Beard featuring Mary Beard has one or more episodes streaming with subscription on Prime Video. It's a documentary show with 3 episodes over 1 season. Meet the Romans with Mary Beard is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (190 votes).",1Season,Prime Video
Trail of Tears,1999,all,8.3,35,"Documentary,1999","Native Americans have experienced a history full of oppression and racism. Since the period when Native tribes were found on this continent at the time of its 'discovery', the British and American governments disregarded Native Americans as the owners of the territory they occupied and used aggressive force to take their lands and destroy their people. This harrowing and compelling compilation of 4 award-winning documentary programs chronicles the struggles of the Native American culture from the forced relocation known as the Trail of Tears to the current issues faced by America's aboriginal people.Trail of Tears has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 5 episodes over 1 season. Trail of Tears is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (47 votes).",1Season,Prime Video
Wild North,2015,N/A,7.3,35,"Documentary,2015","Examines the diversity of wildlife found in three very different environments in the wilds of Northern Scandinavia.Wild North featuring Linford Brown has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 3 episodes over 1 season. Wild North is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (121 votes).",1Season,Prime Video
Chi's Sweet Adventure,2016,N/A,7.8,35,"Animation,2016","Chi is a sweet playful kitten who?s always full of energy. She lives with the loving Yamada family. Her daily routine is to drink milk, take naps, and go walk in the park.Chi's Sweet Adventure has one or more episodes streaming with subscription on Prime Video. It's an animation show with 76 episodes over 2 seasons. Chi's Sweet Adventure is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (36 votes).",2Seasons,Prime Video
Gamebros,2018,N/A,6.7,35,"Drama,Action & Adventure","Heitor is a hacker and he works for the Police Department. During business hours, he is the man who gives operational support and wear the police badge. Heitor has a hidden identity in the Deep Web, where he uses his hacker skills to solve crimes.Gamebros featuring Marcelo Bechara and Ana Paula Lopez has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and crime show with 6 episodes over 1 season. Gamebros is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.7 (120 votes).",1Season,Prime Video
Eat. Race. Win.,2018,N/A,7.1,35,"Documentary,Sport","EAT. RACE. WIN. is a behind-the-scenes adventure into the biggest annual sporting event on the planet: The Tour de France. The Queen of Performance Cooking, Chef Hannah Grant, takes you on her race within the race as she sources performance food for Australia's pro cycling team, Orica-Scott. Hannah shows us exactly what it takes to perform at the edge of human endurance for 21 race days.Eat. Race. Win. has one or more episodes streaming with subscription on Prime Video. It's a documentary and sport show with 6 episodes over 1 season. Eat. Race. Win. is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (155 votes).",1Season,Prime Video
Rome,2012,N/A,5.6,35,"Drama,History","A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.Rome has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and drama show with 22 episodes over 2 seasons. Rome is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.6 (32 votes).",2Seasons,Prime Video
Delayed Gratification Series,2017,N/A,8.7,35,"Drama,2017","Two professional young women living in downtown Philadelphia travel the path of self-growth as they encounter challenges by men, family, work and personal issues like addiction.Delayed Gratification Series has one or more episodes streaming with subscription on Prime Video. It's a drama show with 16 episodes over 2 seasons. Delayed Gratification Series is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (7 votes).",2Seasons,Prime Video
Hotel GB,2012,N/A,5.9,35,"Reality,Food","Hotel GB is a British reality television series broadcast on Channel 4 airing for five consecutive nights in October 2012. Presented by Paddy McGuinness live from Hotel GB, the show's stars take on a one-week challenge, helping unemployed young people find work. It was axed on 1 April 2013 due to poor ratings.Hotel GB has one or more episodes streaming with subscription on Prime Video. It's a food and reality show with 5 episodes over 1 season. Hotel GB is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 5.9 (33 votes).",1Season,Prime Video
Fukuyadou Honpo: Kyoto Love Story,2016,N/A,7.5,35,"Romance,Comedy","Fukuyadou Honpo is a traditional Kyoto sweet shop with 450 years of history. This romantic drama depicts the careers, love lives and dreams of three sisters.Fukuyadou Honpo: Kyoto Love Story featuring Akari Hayami and Hayato Ichihara has one or more episodes streaming with subscription on Prime Video. It's a comedy and drama show with 12 episodes over 1 season. Fukuyadou Honpo: Kyoto Love Story is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (99 votes).",1Season,Prime Video
Crime & Punishment,2002,N/A,N/A,35,"2002,Prime Video",Crime & Punishment has one or more episodes streaming with subscription on Prime Video. It has 2 episodes over 1 season. Crime & Punishment is still airing with no announced date for the next episode or season.,1Season,Prime Video
The Tube: Going Underground,2016,N/A,8.2,35,"Documentary,History","Rob Bell, a qualified engineer and tube fanatic, is granted his wish of showing the British public never-before-seen details of what goes on behind the scenes of our London Underground ...The Tube: Going Underground has one or more episodes streaming with subscription on Prime Video. It's a documentary and history show with 8 episodes over 1 season. The Tube: Going Underground is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (12 votes).",1 Season,Prime Video
Wildest Africa,2013,7+,8.2,35,"Documentary,2013","This iconic and landmark series is a celebration of Africa?s most spectacular locations, showcasing the full African experience. It journeys from the cradle of human civilisation to the most awe-inspiring natural wonders of the world by going on safari to see the continent?s Big Five ? lion, elephant, leopard, black rhino, white rhino and Cape buffalo. Wildest Africa discovers their secret locations, their cultural and wildlife issues, as well as how the natural wonders they live in are being threatened and what is being done to overcome these environmental pressures. With a cinematic scope to rival the land it films, Wildest Africa captures the breathtaking sceneries, stunning details and rich cultures that exist all over Africa.Wildest Africa has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 13 episodes over 1 season. Wildest Africa is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (124 votes).",1Season,Prime Video
Diagnosis: Unknown,2002,N/A,8.6,34,"Crime,Drama","The true stories of doctors, patients and the fight to survive.Diagnosis: Unknown has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 23 episodes over 2 seasons. Diagnosis: Unknown is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (19 votes).",2 Seasons,Prime Video
WWII in the Pacific,2015,7+,N/A,34,"Documentary,2015","WWII in the Pacific focuses on the events, notable figures, various bands of brothers, and heroic actions of the Allied powers. Take an inside look, starting with the conflict and tensions leading up to the war, the attack on Pearl Harbor, the evolution of the Pacific Theater, and the development and dropping of the atomic bomb, up until the subsequent end of WWII.WWII in the Pacific featuring Alisdair Simpson has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with AHC GO, available for purchase on iTunes, and 4 others. It's a documentary show with 6 episodes over 1 season. WWII in the Pacific is no longer running and has no plans to air new episodes or seasons.",1Season,Prime Video
???????,2017,7+,7.7,34,"Drama,Romance","Zhou Ying is sold to the powerful Shen family by her foster father, yet successfully escapes by sneaking into merchant Wu Ping?s palanquin. The Wu family agreed to take her in after witnessing her remarkable business acumen, and she ends up marrying Wu Ping. The drama will chronicle the life of the Qing Dynasty's richest female merchant, and her struggles to keep the Wu family business afloat during the last years of the Qing Dynasty.Shen Xingyi is a happy-go-lucky young sir who has never known hardship in his life. After meeting Zhou Ying, he eventually decides to change his ways and becomes a mature noble who is willing to protect his country and family from disaster. He has a seemingly unrequited love for Zhou Ying.??????? has one or more episodes streaming with subscription on Prime Video. It's a drama and romance show with 74 episodes over 1 season. ??????? is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (131 votes).",1Season,Prime Video
Vanity,2015,N/A,6.6,34,"Drama,2015","A teenage girl infiltrates the high-paced world of New York's fashion elite to uncover the truth behind her mother's death.Vanity has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a drama show with 12 episodes over 1 season. Vanity is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (73 votes).",1Season,Prime Video
Jungle Beat,2014,all,7.4,34,"Animation,Family","Jungle Beat is a fun, family friendly series of CGI animated, self-contained, dialogue-free, 5 minute episodes focusing on different animals and the bizarre situations they encounter in nature. From the Firefly who?s afraid of the dark, to the giraffe with a stiff neck, this wholesome series aims to entertain and delight young children, and their families! Remember when kids were kids and playing meant grass burns, bare feet and muddy faces? That is the world Jungle Beat exists in. It is innocent, positive and uplifting. It makes the world feel like a better place. It encourages community, acceptance and celebrates the individual.Jungle Beat has one or more episodes streaming with subscription on Prime Video. It's an animation and children show with 13 episodes over 1 season. Jungle Beat is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (44 votes).",1 Season,Prime Video
Danger & Eggs,2017,all,6.6,34,"Animation,Action & Adventure","Follows the endless adventures of a fearless, teal-haired girl named D.D. Danger and her ever cautious best friend, a giant talking egg named Phillip. Together, join this buddy system as they explore an underground laboratory, meet a tech-savvy raccoon, and find moments of heart in the smallest bite of broccoli.Danger & Eggs featuring Aidy Bryant and Eric Knobel has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 26 episodes over 1 season. Danger & Eggs is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (207 votes) and was met with mixed reviews by critics.",1 Season,Prime Video
Elders React,2012,N/A,5.8,34,"Comedy,2012","The duo known as the FineBros, take hit songs, videos, and today's celebs, and introduce them to our grandparents.Elders React has one or more episodes streaming with subscription on Prime Video. It's a comedy show with 45 episodes over 2 seasons. Elders React is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.8 (701 votes).",2Seasons,Prime Video
Puppy in My Pocket,2010,N/A,5.9,34,"Animation,Children","Puppy in My Pocket has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an animation and children show with 52 episodes over 1 season. Puppy in My Pocket is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 5.9 (90 votes).",1 Season,Prime Video
Ilana Glazer: The Planet Is Burning,2020,N/A,3.7,34,"Comedy,2020","Ilana Glazer: The Planet is Burning features Ilana's thoughts on homophobes and Nazis, how crappy women's razors are, and what a joke the patriarchy is.Ilana Glazer: The Planet Is Burning has one or more episodes streaming with subscription on Prime Video. It's a comedy show with 1 episodes over 1 season. Ilana Glazer: The Planet Is Burning is still airing with no announced date for the next episode or season. It has a low IMDb audience rating of 3.7 (471 votes).",1Season,Prime Video
Wildest Latin America,2012,N/A,N/A,34,"Documentary,Travel","Trek across the mountainous peaks and volcanic slopes of the Andes; explore the windswept plains of the Patagonian wilderness; journey into the teeming forests of the Amazon, and wade through the giant swamps of Venezuela, as this beautiful five- part series celebrates the region?s most iconic and dramatic locations. Combining the extraordinary stories of the animals and people, each episode explores the latest revelations about life in this land of extremes. From army ants to armadillos, jaguars to giant otters, find out how each species has developed unique ways to stay alive. Through ingenuity and determination, people have also found ways to make the most of what the continent has to offer. uncover the vital skills, incredible lifestyles and ancient rituals that continue to shape the identity of Latin America?s diverse people. Experience all this fascinating continent has to offer and gain an exciting and in-depth understanding of Latin America?s most spectacular places.Wildest Latin America has one or more episodes streaming with subscription on Prime Video. It's a documentary and travel show with 5 episodes over 1 season. Wildest Latin America is no longer running and has no plans to air new episodes or seasons.",1Season,Prime Video
Minecraft Villagers,2013,N/A,7.5,34,"Animation,Comedy",Villagers tells you whats happening in the Minecraft world!Minecraft Villagers has one or more episodes streaming with subscription on Prime Video. It's an animation and comedy show with 13 episodes over 1 season. Minecraft Villagers is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (32 votes).,1Season,Prime Video
Dangerous Waters,2013,N/A,6.9,33,"2013,Prime Video","In a total of 64 days, crew of 5 men venture on four SeaDoo personal watercraft from Seattle, Washington to Haines...Dangerous Waters has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It has 70 episodes over 6 seasons. Dangerous Waters is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.9 (25 votes).",6Seasons,Prime Video
Plane Resurrection,2016,N/A,7.1,33,"Documentary,2016","Climb into the cockpits of historic planes, and meet the craftsmen who dedicate their time to bring these aviation icons back to life.Plane Resurrection has one or more episodes streaming with subscription on Prime Video, and streaming with subscription on Curiosity Stream (Via Prime Video). It's a documentary show with 18 episodes over 3 seasons. Plane Resurrection is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (45 votes).",3Seasons,Prime Video
Road Side Stories,2016,N/A,N/A,33,"2016,Prime Video",Road Side Stories has one or more episodes streaming with subscription on Prime Video. It has 7 episodes over 1 season. Road Side Stories is still airing with no announced date for the next episode or season. It was met with mixed reviews by critics.,1Season,Prime Video
NOVA Wonders,2018,all,7.4,33,"Documentary,2018","NOVA Wonders? takes viewers on a journey to the frontiers of science, where researchers are tackling some of the biggest questions about life and the cosmos. From the mysteries of astrophysics to the secrets of the body to the challenges of inventing technologies that could rival?and even surpass?the abilities of the human mind, these six hours reveal how far we?ve come in our search for answers, how we managed to get here, and how scientists hope to push our understanding of the universe even further. Along the way, we meet the remarkable people who are transforming our world and our futureNOVA Wonders has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, and available for purchase on Prime Video. It's a documentary show with 6 episodes over 1 season. NOVA Wonders is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (51 votes).",1Season,Prime Video
The Snowy Day,2016,all,7.2,33,"Animation,Family","Based on the award-winning book by Ezra Jack Keats. Peter goes on a magical, snowy walk to his Nana's house to bring home their Christmas Eve dinner.The Snowy Day has one or more episodes streaming with subscription on Prime Video. It's an animation and family show with 1 episodes over 1 season. The Snowy Day is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (156 votes).",1Season,Prime Video
Voyage of the Continents,2012,N/A,N/A,33,"Documentary,2012","Over the many billions of years of the Earth's history our planet has never stopped changing shape. Massive tectonic forces have sculpted and resculpted our world in a never ending journey. Tectonics has created life - and destroyed it as well. Huge volcanoes and devastating earthquakes continue to dominate human history. This is a story of high drama and intense beauty; the interaction of geology and life.Voyage of the Continents has one or more episodes streaming with subscription on Prime Video, and streaming with subscription on XiveTV (Via Prime Video). It's a documentary show with 15 episodes over 2 seasons. Voyage of the Continents is no longer running and has no plans to air new episodes or seasons.",2Seasons,Prime Video
Islam and the West,2011,all,N/A,33,"Documentary,2011","For centuries, Islamic and Christian civilizations have coexisted, often peacefully. Yet recent factors have given rise to misunderstandings and have aroused animosities between the Middle East and the West. Through dramatic reenactments and interviews with theologians, historians and statesmen, this three-part series investigates the complex and dynamic relationships between these cultures. Discover how these warring faiths once coexisted and even thrived together and how they may one day chart a path towards a peaceful future.Islam and the West has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 3 episodes over 1 season. Islam and the West is no longer running and has no plans to air new episodes or seasons.",1Season,Prime Video
Accident Investigator,2005,N/A,7.5,33,"Crime,Drama",The show profiles fatal traffic accidents and uncovers the uncommon causes behind them.Accident Investigator has one or more episodes streaming with subscription on Prime Video. It's a crime and documentary show with 9 episodes over 1 season. Accident Investigator is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (11 votes).,1 Season,Prime Video
Vials,2017,N/A,N/A,33,"2017,Prime Video",Vials has one or more episodes streaming with subscription on Prime Video. It has 1 episodes over 1 season. Vials is still airing with no announced date for the next episode or season.,1Season,Prime Video
The Irish Mob,2016,16+,7.3,33,"Documentary,Action & Adventure","""The Irish Mob"" (original title ""Mobs Mhericea"") uncovers the real stories behind some of America?s most notorious and ruthless gangsters. The Real Goodfellas, who just happened to be of Irish descent. This is a riveting series of some real bad boys.The Irish Mob has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and crime show with 9 episodes over 2 seasons. The Irish Mob is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (28 votes).",2Seasons,Prime Video
The Wheelchair President,2015,N/A,6.4,33,"History,2015","Host David Reynolds examines President Franklin D. Roosevelt's wartime leadership and how his health and marriage influenced his decision-making.The Wheelchair President has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a history show with 2 episodes over 1 season. The Wheelchair President is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.4 (43 votes).",1Season,Prime Video
The Crimean War,2018,N/A,7.7,33,"Documentary,2018","The Crimean War has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 3 episodes over 1 season. The Crimean War is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (40 votes).",1Season,Prime Video
Hey Qween,2018,N/A,5.9,33,"Comedy,2018","Comedian Jonny McGovern hosts a talk show with Co-Host Lady Red Couture, where they catch up and gossip with fabulous celebrity guests.Hey Qween featuring Lady Red Couture and Johnny McGovern has one or more episodes streaming with subscription on Prime Video. It's a comedy show with 134 episodes over 7 seasons. Hey Qween is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.9 (130 votes).",7Seasons,Prime Video
