Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Alias,2001,16+,7.6,81,"Action & Adventure,Drama","Sydney Bristow, an agent who has been tricked to believe she is working for the U.S. government, is actually working for a criminal organization named the Alliance of Twelve. Upon learning this, Sydney becomes a double agent for the real CIA.Alias featuring Jennifer Garner and Michael Vartan has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and drama show with 105 episodes over 5 seasons. Alias is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (44,518 votes) and was well received by critics.",5Seasons,Prime Video
Undone,2019,18+,8.2,80,"Animation,Comedy","After getting into a near fatal car accident, Alma discovers she has a new relationship with time and uses this ability to find out the truth about her father?s death.Undone featuring Rosa Salazar and Constance Marie has one or more episodes streaming with subscription on Prime Video. It's an animation and comedy show with 8 episodes over 1 season. Undone is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (11,894 votes) and was very well received by critics.",1Season,Prime Video
Carnival Row,2019,18+,7.9,80,"Fantasy,Horror","In a mystical and dark city filled with humans, fairies and other creatures, a police detective investigates a series of gruesome murders leveled against the fairy population. During his investigation, the detective becomes the prime suspect and must find the real killer to clear his name.Carnival Row featuring Orlando Bloom and Cara Delevingne has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 8 episodes over 1 season. Carnival Row is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.9 (41,603 votes) and was met with mixed reviews by critics.",1Season,Prime Video
Poldark,2015,16+,8.3,79,"Drama,History","Britain is in the grip of a chilling recession... falling wages, rising prices, civil unrest - only the bankers are smiling. It's 1783 and Ross Poldark returns from the American War of Independence to his beloved Cornwall to find his world in ruins: his father dead, the family mine long since closed, his house wrecked and his sweetheart pledged to marry his cousin. But Ross finds that hope and love can be found when you are least expecting it in the wild but beautiful Cornish landscape.Poldark featuring Aidan Turner and Eleanor Tomlinson has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a drama and history show with 43 episodes over 5 seasons. Poldark is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (24,609 votes) and was well received by critics.",5Seasons,Prime Video
The Mentalist,2008,16+,8.1,79,"Crime,Drama","Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.The Mentalist featuring Simon Baker and Robin Tunney has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 152 episodes over 7 seasons. The Mentalist is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (161,674 votes).",7 Seasons,Prime Video
Goliath,2016,16+,8.2,78,"Drama,Crime","Once a powerful lawyer, Billy McBride is now burned out and washed up, spending more time in a bar than a courtroom. When he reluctantly agrees to pursue a wrongful death lawsuit against the biggest client of Cooperman & McBride, the massive law firm he helped create, Billy and his ragtag team uncover a vast and deadly conspiracy, pitting them all in a life or death trial against the ultimate Goliath.Goliath featuring Billy Bob Thornton and Nina Arianda has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 24 episodes over 3 seasons. Goliath is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (31,666 votes) and was well received by critics.",3 Seasons,Prime Video
Catastrophe,2015,18+,8.2,78,"Comedy,2015","Rob Delaney and Sharon Horgan write and star in a comedy that follows an American man and an Irish woman who make a bloody mess as they struggle to fall in love in London.Catastrophe featuring Sharon Horgan and Rob Delaney has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a comedy show with 24 episodes over 4 seasons. Catastrophe is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (15,069 votes) and was very well received by critics.",4Seasons,Prime Video
The Family Man,2019,16+,8.6,78,"Action & Adventure,Comedy","The story of a middle-class man who works for a special cell of the National Investigation Agency. While he tries to protect the nation from terrorists, he also has to protect his family from the impact of his secretive, high-pressure, and low paying job.The Family Man featuring Manoj Bajpayee and Priyamani has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and comedy show with 10 episodes over 1 season. The Family Man is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (24,685 votes).",1Season,Prime Video
Homecoming,2018,18+,7.5,78,"Thriller,Drama","Heidi Bergman is a caseworker at Homecoming, a Geist Group facility helping soldiers transition to civilian life. Years later she has started a new life, living with her mother and working as a waitress, when a Department of Defense auditor questions why she left the Homecoming facility. Heidi quickly realizes that there's a whole other story behind the story she's been telling herself.Homecoming featuring Janelle Mon†e and Alex Karpovsky has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's a drama and mystery show with 17 episodes over 2 seasons. Homecoming is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (19,654 votes) and was well received by critics.",2Seasons,Prime Video
Modern Love,2019,18+,8,77,"Comedy,Romance","Over eight standalone episodes, the series explores love in its multitude of forms ? including sexual, romantic, familial, platonic, and self love.Modern Love has one or more episodes streaming with subscription on Prime Video. It's a comedy and romance show with 8 episodes over 1 season. Modern Love is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (16,417 votes) and was well received by critics.",1Season,Prime Video
Mirzapur,2018,18+,8.5,77,"Action & Adventure,Crime","The iron-fisted Akhandanand Tripathi is a millionaire carpet exporter and the mafia don of Mirzapur. His son, Munna, is an unworthy, power-hungry heir who will stop at nothing to inherit his father's legacy. An incident at a wedding procession forces him to cross paths with Ramakant Pandit, an upstanding lawyer, and his sons, Guddu and Bablu. It snowballs into a game of ambition, power and greed that threatens the fabric of this lawless city.Mirzapur featuring Ali Fazal and Vikrant Massey has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and crime show with 9 episodes over 1 season. Mirzapur is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (29,714 votes).",1Season,Prime Video
Tales from the Loop,2020,18+,7.5,77,"Drama,Science-Fiction","The story of the town and people who live above ?The Loop,? a machine built to unlock and explore the mysteries of the universe ? making things possible that were previously relegated only to science fiction.Tales from the Loop has one or more episodes streaming with subscription on Prime Video. It's a drama and fantasy show with 8 episodes over 1 season. Tales from the Loop is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (11,235 votes) and was well received by critics.",1Season,Prime Video
Mozart in the Jungle,2014,18+,8.2,77,"Comedy,Drama","In the tradition of Anthony Bourdain's ""Kitchen Confidential"" and Gelsey Kirkland's ""Dancing on my Grave"" comes an insider?s look into the secret world of classical musicians. From her debut recital at Carnegie Recital Hall to the Broadway pits of ""Les Miserables"" and ""Miss Saigon,"" Blair Tindall has played with some of the biggest names in classical music for twenty-five years. Now in ""Mozart in the Jungle,"" Tindall exposes the scandalous rock and roll lifestyles of the musicians, conductors, and administrators who inhabit the insular world of classical music.Mozart in the Jungle featuring Gael Garc°a Bernal and Lola Kirke has one or more episodes streaming with subscription on Prime Video. It's a comedy and drama show with 40 episodes over 4 seasons. Mozart in the Jungle is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (22,038 votes) and was very well received by critics.",4Seasons,Prime Video
Patriot,2015,18+,8.3,76,"Comedy,Drama","To prevent Iran from going nuclear, intelligence officer John Tavner must forgo all safety nets and assume a perilous ""non-official cover"" -- that of a mid-level employee at a Midwestern industrial piping firm.Patriot featuring Michael Dorman and Terry O'Quinn has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and comedy show with 18 episodes over 2 seasons. Patriot is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (10,595 votes) and was very well received by critics.",2Seasons,Prime Video
The Tick,2016,7+,7.4,76,"Action & Adventure,Comedy","In a world where superheroes have been real for decades, an accountant with zero powers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero.The Tick featuring Peter Serafinowicz and Griffin Newman has one or more episodes streaming with subscription on Prime Video, and available for purchase on iTunes. It's an action & adventure and comedy show with 22 episodes over 2 seasons. The Tick is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (14,793 votes) and was very well received by critics.",2Seasons,Prime Video
The Durrells,2016,7+,8.2,75,"Biography,Drama","In 1935, financially strapped widow Louisa Durrell, whose life has fallen apart, decides to move from England, with her four children (three sons, one daughter), to the island of Corfu, Greece. Once there, the family moves into a dilapidated old house that has no electricity and that is crumbling apart. But life on Corfu is cheap, it's an earthly paradise, and the Durrells proceed to forge their new existence, with all its challenges, adventures, and forming relationships.The Durrells featuring Keeley Hawes and Milo Parker has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a biography and comedy show with 26 episodes over 4 seasons. The Durrells is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (7,090 votes) and was very well received by critics.",4Seasons,Prime Video
The Planets,2019,all,9.1,75,"Documentary,2019","Professor Brian Cox explores the dramatic lives of the eight majestic planets/worlds that make up our solar system.The Planets featuring Brian Cox has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 5 episodes over 1 season. The Planets is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.1 (2,132 votes) and was very well received by critics.",1 Season,Prime Video
A Very English Scandal,2018,16+,7.7,74,"Biography,Comedy","It's the late 1960s, homosexuality has only just been legalised and Jeremy Thorpe, the leader of the Liberal party, has a secret he's desperate to hide.A Very English Scandal featuring Hugh Grant and Ben Whishaw has one or more episodes streaming with subscription on Prime Video. It's a biography and comedy show with 3 episodes over 1 season. A Very English Scandal is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (9,353 votes) and was very well received by critics.",1Season,Prime Video
Red Oaks,2014,18+,7.9,74,"Comedy,Drama","A coming-of-age comedy set in the ""go-go"" 80s that is equal parts hijinks and heartfelt about a college student enjoying a last hurrah before summer comes to an end--and the future begins.David Myers, an assistant tennis pro at the Red Oaks Country Club in suburban New Jersey in 1985, is both reeling from his father's heart attack and conflicted about what major to declare in the fall. While there, he meets a colorful cast of misfit co-workers and wealthy club members including an alluring art student named Skye and her corporate raider father Getty.Red Oaks featuring Craig Roberts and Alexandra Socha has one or more episodes streaming with subscription on Prime Video. It's a comedy and drama show with 26 episodes over 3 seasons. Red Oaks is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (9,137 votes) and was very well received by critics.",3Seasons,Prime Video
"Eerie, Indiana",1991,7+,8.2,73,"Children,Drama","Eerie, Indiana is an American television series that originally aired on NBC from 1991 to 1992. The series was created by JosÇ Rivera and Karl Schaefer, with Joe Dante serving as creative consultant. A total of nineteen episodes were produced. The final episode aired for the first time in 1993, when the series was syndicated on The Disney Channel. In 1997, the show generated a new fan base, when Fox's children's programming block Fox Kids aired the series, gaining something of a cult following despite its short run. The renewed popularity in the series, encouraged Fox to produce a spin-off Eerie, Indiana: The Other Dimension, lasting only one season in 1998.Eerie, Indiana featuring Omri Katz and Mary-Margaret Humes has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and children show with 34 episodes over 2 seasons. Eerie, Indiana is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (4,911 votes) and was very well received by critics.",2Seasons,Prime Video
Transparent,2014,18+,7.8,73,"Comedy,LGBTQ","An LA family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out.Transparent featuring Gaby Hoffmann and Amy Landecker has one or more episodes streaming with subscription on Prime Video, and available for purchase on Google Play. It's a comedy and drama show with 41 episodes over 5 seasons. Transparent is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (20,897 votes) and was very well received by critics.",5Seasons,Prime Video
